DATE,PRECIP
10/1/16,0
10/2/16,0.48
10/3/16,0.56
10/4/16,0.56
10/5/16,0.56
10/6/16,0.56
10/7/16,0.56
10/8/16,0.56
10/9/16,0.56
10/10/16,0.56
10/11/16,0.56
10/12/16,0.56
10/13/16,0.56
10/14/16,3.09
10/15/16,5.21
10/16/16,9.49
10/17/16,10.23
10/18/16,10.23
10/19/16,10.23
10/20/16,10.23
10/21/16,10.23
10/22/16,10.23
10/23/16,10.23
10/24/16,10.81
10/25/16,11.37
10/26/16,11.37
10/27/16,12.83
10/28/16,14.64
10/29/16,14.64
10/30/16,16.31
10/31/16,16.91
11/1/16,17.63
11/2/16,17.63
11/3/16,17.63
11/4/16,17.63
11/5/16,17.63
11/6/16,17.63
11/7/16,17.63
11/8/16,17.63
11/9/16,17.63
11/10/16,17.63
11/11/16,17.63
11/12/16,17.63
11/13/16,17.63
11/14/16,17.63
11/15/16,18.09
11/16/16,18.25
11/17/16,18.25
11/18/16,18.25
11/19/16,19.29
11/20/16,20.73
11/21/16,20.97
11/22/16,20.98
11/23/16,21.62
11/24/16,21.62
11/25/16,21.62
11/26/16,22.74
11/27/16,23.67
11/28/16,23.79
11/29/16,23.79
11/30/16,23.79
12/1/16,23.79
12/2/16,23.79
12/3/16,23.79
12/4/16,23.79
12/5/16,23.79
12/6/16,23.8
12/7/16,24.03
12/8/16,25.06
12/9/16,25.73
12/10/16,31.58
12/11/16,31.58
12/12/16,31.58
12/13/16,31.86
12/14/16,32.12
12/15/16,36.46
12/16/16,37.3
12/17/16,37.3
12/18/16,37.3
12/19/16,37.3
12/20/16,37.3
12/21/16,37.31
12/22/16,37.31
12/23/16,38.48
12/24/16,38.91
12/25/16,38.91
12/26/16,38.91
12/27/16,38.91
12/28/16,38.91
12/29/16,38.91
12/30/16,38.91
12/31/16,38.91
1/1/17,39.42
1/2/17,41.14
1/3/17,43.69
1/4/17,47.32
1/5/17,47.53
1/6/17,47.53
1/7/17,50.37
1/8/17,56.44
1/9/17,58.03
1/10/17,63.8
1/11/17,64.8
1/12/17,65.15
1/13/17,65.15
1/14/17,65.15
1/15/17,65.15
1/16/17,65.15
1/17/17,65.15
1/18/17,66.82
1/19/17,68.6
1/20/17,68.99
1/21/17,71.85
1/22/17,73.28
1/23/17,74
1/24/17,74.01
1/25/17,74.07
1/26/17,74.07
1/27/17,74.07
1/28/17,74.07
1/29/17,74.07
1/30/17,74.07
1/31/17,74.07
2/1/17,74.07
2/2/17,74.73
2/3/17,74.73
2/4/17,75.31
2/5/17,76.02
2/6/17,79.11
2/7/17,82.95
2/8/17,86.67
2/9/17,89.96
2/10/17,91.53
2/11/17,91.53
2/12/17,91.53
2/13/17,91.53
2/14/17,91.53
2/15/17,91.53
2/16/17,92.25
2/17/17,93.36
2/18/17,94.21
2/19/17,95.02
2/20/17,100.23
2/21/17,102.62
2/22/17,102.91
2/23/17,103.46
2/24/17,103.46
2/25/17,103.56
2/26/17,103.7
2/27/17,103.88
2/28/17,103.88
3/1/17,103.88
3/2/17,103.88
3/3/17,103.88
3/4/17,104.82
3/5/17,106.3
3/6/17,106.76
3/7/17,106.78
3/8/17,106.78
3/9/17,106.78
3/10/17,106.78
3/11/17,106.78
3/12/17,106.78
3/13/17,106.78
3/14/17,106.78
3/15/17,106.78
3/16/17,106.78
3/17/17,106.78
3/18/17,107.08
3/19/17,107.08
3/20/17,107.25
3/21/17,109.51
3/22/17,110.36
3/23/17,110.36
3/24/17,111.37
3/25/17,111.41
3/26/17,111.85
3/27/17,112.16
3/28/17,112.16
3/29/17,112.16
3/30/17,112.96
3/31/17,112.96
4/1/17,112.96
4/2/17,112.96
4/3/17,112.96
4/4/17,112.96
4/5/17,112.96
4/6/17,114.23
4/7/17,117.27
4/8/17,119.11
4/9/17,119.11
4/10/17,119.11
4/11/17,119.23
4/12/17,121.12
4/13/17,122.97
4/14/17,123.41
4/15/17,123.41
4/16/17,124.24
4/17/17,125.38
4/18/17,126.14
4/19/17,126.21
4/20/17,126.56
4/21/17,126.56
4/22/17,126.56
4/23/17,126.56
4/24/17,127.34
4/25/17,127.34
4/26/17,127.57
4/27/17,127.77
4/28/17,127.77
4/29/17,127.77
4/30/17,127.77
5/1/17,127.77
5/2/17,127.77
5/3/17,127.77
5/4/17,127.77
5/5/17,127.77
5/6/17,127.88
5/7/17,127.88
5/8/17,127.88
5/9/17,127.88
5/10/17,127.88
5/11/17,127.88
5/12/17,127.89
5/13/17,127.89
5/14/17,127.89
5/15/17,127.89
5/16/17,128.2
5/17/17,128.31
5/18/17,128.31
5/19/17,128.31
5/20/17,128.31
5/21/17,128.31
5/22/17,128.31
5/23/17,128.31
5/24/17,128.31
5/25/17,128.31
5/26/17,128.31
5/27/17,128.31
5/28/17,128.31
5/29/17,128.31
5/30/17,128.31
5/31/17,128.36
6/1/17,128.36
6/2/17,128.36
6/3/17,128.36
6/4/17,128.36
6/5/17,128.36
6/6/17,128.36
6/7/17,128.36
6/8/17,128.75
6/9/17,128.81
6/10/17,128.81
6/11/17,128.91
6/12/17,129.23
6/13/17,129.23
6/14/17,129.23
6/15/17,129.23
6/16/17,129.23
