,DATE,PRECIP
0,10/01/2019,0.0
1,10/02/2019,0.0
2,10/03/2019,0.0
3,10/04/2019,0.0
4,10/05/2019,0.0
5,10/06/2019,0.0
6,10/07/2019,0.0
7,10/08/2019,0.0
8,10/09/2019,0.0
9,10/10/2019,0.0
10,10/11/2019,0.0
11,10/12/2019,0.0
12,10/13/2019,0.0
13,10/14/2019,0.0
14,10/15/2019,0.0
15,10/16/2019,0.0
16,10/17/2019,0.13
17,10/18/2019,0.13
18,10/19/2019,0.13
19,10/20/2019,0.13
20,10/21/2019,0.13
21,10/22/2019,0.13
22,10/23/2019,0.13
23,10/24/2019,0.13
24,10/25/2019,0.13
25,10/26/2019,0.13
26,10/27/2019,0.13
27,10/28/2019,0.13
28,10/29/2019,0.13
29,10/30/2019,0.13
30,10/31/2019,0.13
31,11/01/2019,0.13
32,11/02/2019,0.13
33,11/03/2019,0.13
34,11/04/2019,0.13
35,11/05/2019,0.13
36,11/06/2019,0.13
37,11/07/2019,0.13
38,11/08/2019,0.13
39,11/09/2019,0.13
40,11/10/2019,0.13
41,11/11/2019,0.13
42,11/12/2019,0.13
43,11/13/2019,0.13
44,11/14/2019,0.13
45,11/15/2019,0.13
46,11/16/2019,0.13
47,11/17/2019,0.13
48,11/18/2019,0.13
49,11/19/2019,0.32
50,11/20/2019,0.32
51,11/21/2019,0.32
52,11/22/2019,0.32
53,11/23/2019,0.32
54,11/24/2019,0.32
55,11/25/2019,0.32
56,11/26/2019,1.51
57,11/27/2019,2.92
58,11/28/2019,3.09
59,11/29/2019,3.58
60,11/30/2019,3.98
61,12/01/2019,6.5
62,12/02/2019,7.23
63,12/03/2019,7.23
64,12/04/2019,7.67
65,12/05/2019,7.75
66,12/06/2019,8.13
67,12/07/2019,10.86
68,12/08/2019,11.8
69,12/09/2019,11.8
70,12/10/2019,11.82
71,12/11/2019,12.75
72,12/12/2019,13.27
73,12/13/2019,14.79
74,12/14/2019,15.11
75,12/15/2019,15.14
76,12/16/2019,15.14
77,12/17/2019,15.14
78,12/18/2019,15.14
79,12/19/2019,15.15
80,12/20/2019,15.15
81,12/21/2019,15.15
82,12/22/2019,15.92
83,12/23/2019,16.02
84,12/24/2019,16.08
85,12/25/2019,16.09
86,12/26/2019,16.09
87,12/27/2019,16.09
88,12/28/2019,16.09
89,12/29/2019,16.09
90,12/30/2019,16.09
91,12/31/2019,16.09
92,01/01/2020,16.09
93,01/02/2020,16.09
94,01/03/2020,16.09
95,01/04/2020,16.23
96,01/05/2020,16.23
97,01/06/2020,16.23
98,01/07/2020,16.39
99,01/08/2020,16.54
100,01/09/2020,16.89
101,01/10/2020,16.89
102,01/11/2020,17.18
103,01/12/2020,17.22
104,01/13/2020,17.69
105,01/14/2020,18.33
106,01/15/2020,18.33
107,01/16/2020,19.67
108,01/17/2020,19.92
109,01/18/2020,19.92
110,01/19/2020,19.92
111,01/20/2020,19.92
112,01/21/2020,20.51
113,01/22/2020,20.66
114,01/23/2020,20.7
115,01/24/2020,20.82
116,01/25/2020,20.88
117,01/26/2020,22.43
118,01/27/2020,22.43
119,01/28/2020,22.45
120,01/29/2020,22.45
121,01/30/2020,22.45
122,01/31/2020,22.45
123,02/01/2020,22.45
124,02/02/2020,22.61
125,02/03/2020,22.61
